polity,variable_name,variable_sub_name,value,year_from,year_to,certainty
CnQingE,crisisdb_total_tax,total_amount_of_taxes_collected,55328,1652,1652,Evidenced
CnQingE,crisisdb_total_tax,total_amount_of_taxes_collected,45658,1685,1685,Evidenced
CnQingE,crisisdb_total_tax,total_amount_of_taxes_collected,52412,1724,1724,Evidenced
CnQingE,crisisdb_total_tax,total_amount_of_taxes_collected,76480,1766,1766,Evidenced
CnQingE,crisisdb_total_tax,total_amount_of_taxes_collected,72464,1784,1784,Evidenced
CnQingE,crisisdb_tariff_and_transit,tariff_and_transit,1000,1652,1652,Evidenced
CnQingE,crisisdb_tariff_and_transit,tariff_and_transit,,1654,1654,Evidenced
CnQingE,crisisdb_tariff_and_transit,tariff_and_transit,,1657,1657,Evidenced
CnQingE,crisisdb_tariff_and_transit,tariff_and_transit,,1682,1682,Evidenced
CnQingE,crisisdb_tariff_and_transit,tariff_and_transit,1220,1685,1685,Evidenced
CnQingE,crisisdb_tariff_and_transit,tariff_and_transit,1350,1724,1724,Evidenced
CnQingE,crisisdb_tariff_and_transit,tariff_and_transit,1350,1725,1725,Evidenced
CnQingE,crisisdb_tariff_and_transit,tariff_and_transit,4590,1748,1748,Evidenced
CnQingE,crisisdb_tariff_and_transit,tariff_and_transit,5400,1766,1766,Evidenced
CnQingE,crisisdb_tariff_and_transit,tariff_and_transit,,1768,1768,Evidenced
CnQingE,crisisdb_tariff_and_transit,tariff_and_transit,,1791,1791,Evidenced
CnQingE,crisisdb_salt_tax,salt_tax,2120,1652,1652,Evidenced
CnQingE,crisisdb_salt_tax,salt_tax,2720,1654,1654,Evidenced
CnQingE,crisisdb_salt_tax,salt_tax,,1657,1657,Evidenced
CnQingE,crisisdb_salt_tax,salt_tax,,1682,1682,Evidenced
CnQingE,crisisdb_salt_tax,salt_tax,3880,1685,1685,Evidenced
CnQingE,crisisdb_salt_tax,salt_tax,3870,1724,1724,Evidenced
CnQingE,crisisdb_salt_tax,salt_tax,4430,1725,1725,Evidenced
CnQingE,crisisdb_salt_tax,salt_tax,7010,1748,1748,Evidenced
CnQingE,crisisdb_salt_tax,salt_tax,5740,1766,1766,Evidenced
CnQingE,crisisdb_salt_tax,salt_tax,,1768,1768,Evidenced
CnQingE,crisisdb_salt_tax,salt_tax,,1791,1791,Evidenced
CnQingE,crisisdb_land_taxes_collected,land_taxes_collected,49795,1652,1652,Evidenced
CnQingE,crisisdb_land_taxes_collected,land_taxes_collected,38809,1685,1685,Evidenced
CnQingE,crisisdb_land_taxes_collected,land_taxes_collected,33550,1724,1724,Evidenced
CnQingE,crisisdb_land_taxes_collected,land_taxes_collected,57360,1766,1766,Evidenced
CnQingE,crisisdb_land_taxes_collected,land_taxes_collected,54348,1784,1784,Evidenced
CnQingE,crisisdb_diding_taxes,total_revenue,21260,1652,1652,Evidenced
CnQingE,crisisdb_diding_taxes,total_revenue,14804,1654,1654,Evidenced
CnQingE,crisisdb_diding_taxes,total_revenue,,1657,1657,Evidenced
CnQingE,crisisdb_diding_taxes,total_revenue,,1682,1682,Evidenced
CnQingE,crisisdb_diding_taxes,total_revenue,28230,1685,1685,Evidenced
CnQingE,crisisdb_diding_taxes,total_revenue,30280,1724,1724,Evidenced
CnQingE,crisisdb_diding_taxes,total_revenue,30070,1725,1725,Evidenced
CnQingE,crisisdb_diding_taxes,total_revenue,29640,1748,1748,Evidenced
CnQingE,crisisdb_diding_taxes,total_revenue,29910,1766,1766,Evidenced
CnQingE,crisisdb_diding_taxes,total_revenue,,1768,1768,Evidenced
CnQingE,crisisdb_diding_taxes,total_revenue,,1791,1791,Evidenced
CnQingE,crisisdb_total_revenue,total_revenue,24380,1652,1652,Evidenced
CnQingE,crisisdb_total_revenue,total_revenue,17824,1654,1654,Evidenced
CnQingE,crisisdb_total_revenue,total_revenue,25468,1657,1657,Evidenced
CnQingE,crisisdb_total_revenue,total_revenue,31100,1682,1682,Evidenced
CnQingE,crisisdb_total_revenue,total_revenue,34240,1685,1685,Evidenced
CnQingE,crisisdb_total_revenue,total_revenue,36490,1724,1724,Evidenced
CnQingE,crisisdb_total_revenue,total_revenue,35850,1725,1725,Evidenced
CnQingE,crisisdb_total_revenue,total_revenue,42660,1748,1748,Evidenced
CnQingE,crisisdb_total_revenue,total_revenue,42540,1766,1766,Evidenced
CnQingE,crisisdb_total_revenue,total_revenue,62497,1768,1768,Evidenced
CnQingE,crisisdb_total_revenue,total_revenue,43590,1791,1791,Evidenced
CnQingE,crisisdb_total_expenditure,total_expenditure,,1652,1652,Evidenced
CnQingE,crisisdb_total_expenditure,total_expenditure,15219,1654,1654,Evidenced
CnQingE,crisisdb_total_expenditure,total_expenditure,,1657,1657,Evidenced
CnQingE,crisisdb_total_expenditure,total_expenditure,,1682,1682,Evidenced
CnQingE,crisisdb_total_expenditure,total_expenditure,29207,1685,1685,Evidenced
CnQingE,crisisdb_total_expenditure,total_expenditure,,1724,1724,Evidenced
CnQingE,crisisdb_total_expenditure,total_expenditure,,1725,1725,Evidenced
CnQingE,crisisdb_total_expenditure,total_expenditure,,1748,1748,Evidenced
CnQingE,crisisdb_total_expenditure,total_expenditure,34510,1766,1766,Evidenced
CnQingE,crisisdb_total_expenditure,total_expenditure,42210,1768,1768,Evidenced
CnQingE,crisisdb_total_expenditure,total_expenditure,31770,1791,1791,Evidenced
CnQingE,crisisdb_total_economic_output,total_economic_output,351100,1652,1652,Evidenced
CnQingE,crisisdb_total_economic_output,total_economic_output,461510,1685,1685,Evidenced
CnQingE,crisisdb_total_economic_output,total_economic_output,1047821,1724,1724,Evidenced
CnQingE,crisisdb_total_economic_output,total_economic_output,2098782,1766,1766,Evidenced
CnQingE,crisisdb_total_economic_output,total_economic_output,1936999,1784,1784,Evidenced
CnQingE,crisisdb_land_yield,land_yield,315991,1652,1652,Evidenced
CnQingE,crisisdb_land_yield,land_yield,415359,1685,1685,Evidenced
CnQingE,crisisdb_land_yield,land_yield,890648,1724,1724,Evidenced
CnQingE,crisisdb_land_yield,land_yield,1783965,1766,1766,Evidenced
CnQingE,crisisdb_land_yield,land_yield,1646449,1784,1784,Evidenced
CnQingE,crisisdb_shares_of_world_gdp,shares_of_world_GDP,25,1500,1500,Evidenced
CnQingE,crisisdb_shares_of_world_gdp,shares_of_world_GDP,29.2,1600,1600,Evidenced
CnQingE,crisisdb_shares_of_world_gdp,shares_of_world_GDP,22.3,1700,1700,Evidenced
CnQingE,crisisdb_rate_of_gdp_per_capita_growth,rate_of_GDP_per_capita_growth,0,1500,1820,Evidenced
CnQingE,crisisdb_gdp_total,GDP_total,61800,1500,1500,Evidenced
CnQingE,crisisdb_gdp_total,GDP_total,96000,1600,1600,Evidenced
CnQingE,crisisdb_gdp_total,GDP_total,82800,1700,1700,Evidenced
CnQingE,crisisdb_gdp_per_capita,GDP_per_capita,600,1500,1500,Evidenced
CnQingE,crisisdb_gdp_per_capita,GDP_per_capita,600,1600,1600,Evidenced
CnQingE,crisisdb_gdp_per_capita,GDP_per_capita,600,1700,1700,Evidenced
CnQingE,crisisdb_gdp_growth_rate,GDP_growth_rate,0.41,1500,1820,Evidenced
CnQingE,crisisdb_balance,balance,,1652,1652,Evidenced
CnQingE,crisisdb_balance,balance,2605,1654,1654,Evidenced
CnQingE,crisisdb_balance,balance,,1657,1657,Evidenced
CnQingE,crisisdb_balance,balance,,1682,1682,Evidenced
CnQingE,crisisdb_balance,balance,5033,1685,1685,Evidenced
CnQingE,crisisdb_balance,balance,,1724,1724,Evidenced
CnQingE,crisisdb_balance,balance,,1725,1725,Evidenced
CnQingE,crisisdb_balance,balance,,1748,1748,Evidenced
CnQingE,crisisdb_balance,balance,8030,1766,1766,Evidenced
CnQingE,crisisdb_balance,balance,20288,1768,1768,Evidenced
CnQingE,crisisdb_balance,balance,,1791,1791,Evidenced
CnQingE,crisisdb_misc_incomes,misc_incomes,,1652,1652,Evidenced
CnQingE,crisisdb_misc_incomes,misc_incomes,300,1654,1654,Evidenced
CnQingE,crisisdb_misc_incomes,misc_incomes,,1657,1657,Evidenced
CnQingE,crisisdb_misc_incomes,misc_incomes,,1682,1682,Evidenced
CnQingE,crisisdb_misc_incomes,misc_incomes,910,1685,1685,Evidenced
CnQingE,crisisdb_misc_incomes,misc_incomes,990,1724,1724,Evidenced
CnQingE,crisisdb_misc_incomes,misc_incomes,,1725,1725,Evidenced
CnQingE,crisisdb_misc_incomes,misc_incomes,1420,1748,1748,Evidenced
CnQingE,crisisdb_misc_incomes,misc_incomes,1490,1766,1766,Evidenced
CnQingE,crisisdb_misc_incomes,misc_incomes,,1768,1768,Evidenced
CnQingE,crisisdb_misc_incomes,misc_incomes,,1791,1791,Evidenced
CnQingE,crisisdb_worker_wage,worker_wage,worker_wage,1769,1795,Evidenced
CnQingE,crisisdb_worker_wage,area,Manchuria and Heilongjiang,1769,1795,Evidenced
CnQingE,crisisdb_worker_wage,unskilled_construction,0.1,1769,1795,Evidenced
