ConflictName,ConflictType,State,polID,StartYear,EndYear
China (Qing) Three Feudatories Rebellion (Yunnan Guangdong Fujian) 1673-81,Internal,China,CnQingE,1673,1681
China (Formosa) 1721,Internal,China,CnQingE,1721,1721
China (Tibet) 1725-1728,Internal,China,CnQingL,1725,1728
China (Hunan) 1740,Internal,China,CnQingE,1740,1740
China (Jinchuan in Szechuan) 1747-49,Internal,China,CnQingE,1747,1749
China (Tibet and Amdo) 1747,Internal,China,CnQingL,1747,1747
China (Tibet Lhasa Riot) 1750,Internal,China,CnQingE,1750,1750
China (Amursana Revolt) 1755-1756,Internal,China,CnQingE,1755,1756
China (Khalka Mongol rebellion) 1756-57,Internal,China,CnQingE,1756,1757
China (Afaqi Khoja revolt) 1755-1759,Internal,China,CnQingE,1755,1759
China (Jinchuan in Szechuan) 1771-76,Internal,China,CnQingE,1771,1776
China (Shandong rebellion) 1774,Internal,China,CnQingE,1774,1774
China (Formosa) 1786-87,Internal,China,CnQingE,1787,1788
China (Miaozi) 1795-97,Internal,China,CnQingE,1795,1795
China (Afaqi Khoja) 1797,Internal,China,CnQingE,1797,1797
China (White Lotus sect) 1796-1804,Internal,China,CnQingL,1796,1804
China (Anhui Tianli Sect) 1805-1840,Internal,China,CnQingL,1805,1840
China (Mien revolts in Hunan and Guangdong),Internal,China,CnQingL,1805,1805
China (Peking and Henan) 1813-14,Internal,China,CnQingL,1813,1814
China (Jahangirs in Xinjiang) 1820-28,Internal,China,CnQingL,1820,1828
China (Small Swords Society) 1840-1855,Internal,China,CnQingL,1840,1855
China (Islamic rebellion) (Yunnan) 1845-48,Internal,China,CnQingL,1845,1848
China (Kashgaria) (East Turkestan) 1847-48,Internal,China,CnQingL,1847,1848
War of  Seven Khojas,Internal,China,CnQingL,1847,1848
China (Khoja invasions) 1852-1857,Internal,China,CnQingL,1852,1857
Taiping Rebellion Phase 1,Internal,China,CnQingL,1850,1860
China (peasants)  1852-63,Internal,China,CnQingL,1852,1863
China (Triads in Shanghai) 1853-55,Internal,China,CnQingL,1853,1855
China (Red Turban Rebellion) 1854-1856,Internal,China,CnQingL,1854,1856
China (Muslim revolt in Yunnan) 1855-73,Internal,China,CnQingL,1855,1873
Kucha and Khoja Uprising,Internal,China,CnQingL,1857,1857
Taiping Rebellion Phase 2,Internal,China,CnQingL,1860,1866
Miao Revolt Phase 2,Internal,China,CnQingL,1860,1872
Second Nien Revolt,Internal,China,CnQingL,1860,1868
Dungan Rebellion,Internal,China,CnQingL,1862,1873
China (Moslems in Xinjiang) (Khojas) 1862-64,Internal,China,CnQingL,1862,1864
China (Muslims in Turkestan) 1863-78,Internal,China,CnQingL,1863,1878
China (Sichuan Youyang anti-missionary revolt) ,Internal,China,CnQingL,1865,1865
Yellow Cliff Revolt (Shandong),Internal,China,CnQingL,1866,1866
China (peasants) 1866-68,Internal,China,CnQingL,1866,1868
China (Jiangsu Yangzhou anti-missionary riot),Internal,China,CnQingL,1868,1868
China (Islamic rebellion) (Xinjiang) 1868-80,Internal,China,CnQingL,1868,1880
China (Tianjin Tianjin massacre against missionaries),Internal,China,CnQingL,1870,1870
China (Fujian Fuzhou anti-missionary riot),Internal,China,CnQingL,1878,1878
China (Sichuan Chongqing anti-missionary riot),Internal,China,CnQingL,1886,1886
