Year,Drought
1646,102
1652,130
1653,51
1655,66
1657,54
1659,53
1661,91
1662,67
1663,50
1664,75
1665,173
1666,52
1667,74
1670,94
1671,217
1672,63
1674,78
1678,104
1679,229
1680,80
1681,72
1684,63
1689,110
1690,100
1691,111
1692,54
1693,82
1696,57
1697,53
1703,58
1707,64
1708,62
1714,98
1716,71
1720,85
1721,213
1722,130
1723,94
1738,85
1743,96
1745,58
1748,69
1751,95
1752,61
1759,74
1768,72
1774,55
1775,62
1778,191
1785,233
1786,116
1792,76
1802,121
1805,52
1807,105
1811,122
1812,60
1813,124
1814,136
1817,55
1820,133
1825,54
1832,94
1835,215
1836,70
1837,51
1846,90
1847,85
1856,211
1857,74
1859,55
1864,70
1867,109
1869,64
1870,60
1871,70
1875,59
1876,168
1877,265
1878,93
1892,76
1895,57
1899,53
1900,153
1902,79
