Year,Revenue,Expenses,Balance
1652,24380,,
1654,17824,15219,2605
1657,25468,24000,1468
1673,,,
1678,,,
1682,31100,,
1685,,29207,
1686,,,
1691,,,
1694,,,
1708,,,
1722,,,
1724,36490,,
1725,35850,,
1726,,,
1730,,,
1734,,30000,
1748,42660,,
1765,,,
1766,42540,34510,8030
1768,62497,42210,20287
1777,,,
1791,43590,31770,11820
1801,,,
1812,40140,31500,8640
1820,,,
1826,,,
1829,,,
1832,,,
1838,41273,36209,5064
1839,40307,34788,5519
1840,39035,35805,3230
1841,38598,55000,-16402
1842,38688,55000,-16312
1843,,,
1845,40799,58000,-17201
1846,39223,56000,-16777
1847,39387,56000,-16613
1848,37940,54000,-16060
1849,42504,61000,-18496
1874,60800,111000,-50200
1881,82349,150000,-67651
1885,77086,140000,-62914
1886,81270,148000,-66730
1887,84217,153000,-68783
1888,87793,160000,-72207
1889,80762,147000,-66238
1890,86808,158000,-71192
1891,89685,163000,-73315
1892,84364,153000,-68636
1893,83110,151000,-67890
1894,81034,147000,-65966
1899,108328,181000,-72672
1903,104920,175000,-70080
1906,130000,217000,-87000
1908,234820,276000,-41180
1909,263219,310000,-46781
1911,296962,349000,-52038
